,index,@context,@type,bodyType,brand,color,driveWheelConfiguration,image,manufacturer,mileageFromOdometer,model,name,offers,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission,mileage,price
130,130,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/d91d23014efe4ebcad768cd06e3faa29.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '133,271'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8500, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE9AZ224172,Dark Charcoal,Automatic,133271.0,8500
131,131,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/4730f90f8b0640d7ae283dc941caaa57.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '96,414'}",Corolla,Used 2009 Toyota Corolla Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8500, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU40E49Z143289,,Automatic,96414.0,8500
132,132,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/a65ec09972a14429b3795a4a45c8a8aa.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '72,984'}",Corolla,Used 2010 Toyota Corolla XLE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8500, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE0AC349613,Ash,Automatic,72984.0,8500
133,133,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/d5dec6f6b3eb419ea68a0c35217d5776.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '66,240'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8500, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE2AC300249,Ash,Automatic,66240.0,8500
134,134,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/13bc8a8274cf4324a011d8994517e091.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '100,360'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8496, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE8AC400095,Dark Charcoal,Automatic,100360.0,8496
135,135,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '96,942'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8496, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE3AC329985,Ash,,96942.0,8496
136,136,http://schema.org/,Car,['Sedan'],Toyota,,2 wheel drive - front,https://images.autotrader.com/hn/c/73615406f2654b76b5804a9cb913fa63.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': ''}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8495, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE7AZ335626,,Automatic,,8495
137,137,http://schema.org/,Car,['Sedan'],Toyota,Gold,2 wheel drive - front,https://images.autotrader.com/hn/c/12290f769ff54937bc27cf698387a0e4.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '53,988'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8490, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE3AZ227598,Bisque Cloth,Automatic,53988.0,8490
138,138,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/d9bc705a26434e47b6eb763dbbd25977.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '113,601'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8487, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE5AZ204596,Bisque,Automatic,113601.0,8487
139,139,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/30c081d825344ec694e1aea05fa78e33.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '98,792'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8481, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE1AC518182,Black,Automatic,98792.0,8481
140,140,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/b799c4a8f1444cbbba74b4c922b4e1e1.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '100,778'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8459, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBU4EE9A9107652,Ash,Automatic,100778.0,8459
141,141,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/adaab9b2728148768ae80ab4bedafba4.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '43,672'}",Corolla,Used 2009 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8451, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU40E59Z078632,Ash,Manual,43672.0,8451
142,142,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/3233d7ceca704171ad9c8b10c0ecbf90.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '66,442'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8444, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE1AC513631,,,66442.0,8444
143,143,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '96,547'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8442, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE4AC416424,,,96547.0,8442
144,144,http://schema.org/,Car,['Sedan'],Toyota,,2 wheel drive - front,https://images.autotrader.com/hn/c/000853a4922d4acd8236e8670acf556c.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '101,317'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8438, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE0AC284620,,,101317.0,8438
145,145,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '74,632'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8434, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBL40E79J020174,Bisque,Automatic,74632.0,8434
146,146,http://schema.org/,Car,['Sedan'],Toyota,Tan,2 wheel drive - front,https://images.autotrader.com/hn/c/4843619d61204276be462dd6d0928250.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '68,966'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8415, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU40E79C110014,Bisque,Automatic,68966.0,8415
147,147,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/7b2ed5e0c4764d87a4d477129db0a1ea.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '85,000'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8400, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE5AC501529,Bisque,Automatic,85000.0,8400
148,148,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/de784ebc24624bbd93b6c4511e5420dd.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '91,343'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8398, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE0AZ234542,Dark Charcoal Cloth,Automatic,91343.0,8398
149,149,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images.autotrader.com/hn/c/b4c3e894253a48668d0d9c478d81b1e8.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '82,378'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8398, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EEXAZ291492,Bisque,Automatic,82378.0,8398
150,150,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/105630a56c314c7fa8681d8273ca1caa.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '109,448'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8395, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE3AZ322498,Ash,Automatic,109448.0,8395
151,151,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images.autotrader.com/hn/c/e1d8ce4ef4b0438983cb3b77bb7ea651.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '68,500'}",Corolla,Used 2008 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8395, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2008,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BR32E08C927851,Stone,Automatic,68500.0,8395
152,152,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/c2cb93fa71724f77bcb2dca55dcefe76.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '99,533'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8390, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE6AC377402,Other,Manual,99533.0,8390
153,153,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/71c1dcdd4c224dc685d171ee4a349ecb.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '67,334'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8387, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBU4EE2A9096414,Ash,Automatic,67334.0,8387
154,154,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images.autotrader.com/hn/c/f7bfc3f0e6f64e75b4115797b49ca9fe.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '80,584'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8380, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE2AC475052,Bisque,Automatic,80584.0,8380
155,155,http://schema.org/,Car,['Sedan'],Toyota,Burgundy,2 wheel drive - front,https://images.autotrader.com/hn/c/c31b06a8775e49fa9e669c71fe79afb8.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '90,854'}",Corolla,Used 2007 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8377, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2007,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BR32E87C768110,,Manual,90854.0,8377
156,156,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/cd3a7e4489894192b6dae2053c61cab9.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '120,000'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8300, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EEXAC237627,Gray,Automatic,120000.0,8300
157,157,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/7f14c6e5f0d9464cb77deb3dbc8cf6fa.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '90,671'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8300, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE4AZ259783,Black,Automatic,90671.0,8300
158,158,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/5986d355106c40338644e9d4704a849a.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '86,168'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8288, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBU4EE3A9114922,Ash,Automatic,86168.0,8288
159,159,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/5c5e5ef910e04a7d9a3d997a5560cc6e.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '83,971'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8283, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE9AC434725,Ash,Automatic,83971.0,8283
160,160,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/577d865595db4f6cb767fc0a1b370720.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '78,106'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8274, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBU4EEXAJ072893,Ash,Automatic,78106.0,8274
161,161,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/a9bf295e409e47aa887a23014b870784.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '22,225'}",Corolla,Used 2009 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8250, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBL40E999048141,Gray,Automatic,22225.0,8250
162,162,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/91b70c69b03a43acb564db54cfb5b9be.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '62,473'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8250, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBU4EE6A9101663,Gray,Automatic,62473.0,8250
163,163,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/31bcbe4a7be14a47be8eb42d720398c4.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '141,236'}",Corolla,Used 2009 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8245, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU40EX9Z096124,Black,,141236.0,8245
164,164,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/dafbc88e54bc4cd199b393c8b1bef3f4.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '91,385'}",Corolla,Used 2009 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8222, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU40E99C128594,,,91385.0,8222
165,165,http://schema.org/,Car,['Sedan'],Toyota,Gold,2 wheel drive - front,https://images.autotrader.com/hn/c/bd2337c95e24418a82223e4491896c38.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '87,600'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8200, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU40E09Z133830,Bisque,Automatic,87600.0,8200
166,166,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images.autotrader.com/hn/c/04a2713e641c4984856d6f807638127d.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '103,881'}",Corolla,Used 2010 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8150, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE7AZ174484,Ash,Automatic,103881.0,8150
167,167,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/7e74d0bc5b3a4ee3b8b10dfd421c1f33.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '83,363'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8133, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE0AC440509,Ash,Automatic,83363.0,8133
168,168,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '108,275'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8101, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE6AC352550,,Automatic,108275.0,8101
169,169,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/6edacf094863448e976638ab2534ee4d.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '95,430'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE5AC398130,Dark Charcoal,Automatic,95430.0,8000
170,170,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/3adc2a2951b84c899070d66ccba45822.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '107,990'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE8AZ293659,Dark Charcoal,Automatic,107990.0,8000
171,171,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images.autotrader.com/hn/c/7a62386a860d4c93817398d2337c3556.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '95,951'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE8AC476206,Dark Charcoal,Automatic,95951.0,8000
172,172,http://schema.org/,Car,['Sedan'],Toyota,Tan,2 wheel drive - front,https://images.autotrader.com/hn/c/20bbb054cb17479fa1523f85d8a39890.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '101,000'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE0AZ175296,Ash,Automatic,101000.0,8000
173,173,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/a99c289f983249e88a1d10d408dd7557.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '136,974'}",Corolla,Used 2009 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 7999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,JTDBL40E999046731,,Automatic,136974.0,7999
174,174,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/d06d850657254301a7f1b50d5742ee85.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '107,502'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 7999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE5AZ255600,Other,Automatic,107502.0,7999
175,175,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/2d0d3380d11247ada46ed1154653ddf7.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '93,804'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 7999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,2T1BU4EE6AC321895,Ash,Automatic,93804.0,7999
176,176,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/44d883f5d985405e84475c18aba55b5c.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '82,148'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 7999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU40E89Z131145,Ash,Automatic,82148.0,7999
177,177,http://schema.org/,Car,['Sedan'],Toyota,,2 wheel drive - front,https://images.autotrader.com/hn/c/5dee94fc7c934cb68fe9280005957ceb.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '149,725'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 7999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.comwww.autotrader.com/cars-for-sale/vehicledetails.xhtml,4-Cylinder,1NXBU4EE2AZ288652,,Automatic,149725.0,7999
