,index,@context,@type,bodyType,brand,color,driveWheelConfiguration,image,manufacturer,mileageFromOdometer,model,name,offers,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission,price,mileage,price_over_mileage,trim
146,146,http://schema.org/,Car,,Toyota,,,https://images.autotrader.com/images/2018/11/13/500/232/43634544058.500232042.IM1.MAIN.480x640_A.480x640.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '91,647'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9200, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500232042,,2T1BU4EE3AC319215,,,9200,91647.0,0.10038517354632448,
147,147,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/0a8ab9a5fd3c4d44948b9eddd5e3a39b.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '70,649'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9195, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501694814,4-Cylinder,1NXBU4EE5AZ182728,Tan,Automatic,9195,70649.0,0.13015046214383785, LE
148,148,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/89022633650e47fd8699b226b2c19837.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '85,722'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9116, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494835829,4-Cylinder,1NXBU4EE6AZ276746,Dark Charcoal,Automatic,9116,85722.0,0.10634376239471781, S
149,149,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/b7c9d2b4e33941178848fc203a5cc7b2.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '119,260'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501099420,4-Cylinder,2T1BU4EEXAC413396,,,9000,119260.0,0.07546536978031192,
150,150,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/fe7e2e7ca00349c7bfd97e8fdbaf95e2.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '94,192'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497936189,4-Cylinder,1NXBU4EE0AZ263183,Dark Charcoal,Automatic,9000,94192.0,0.09554951588245286, S
151,151,http://schema.org/,Car,['Sedan'],Toyota,,2 wheel drive - front,https://images.autotrader.com/hn/c/058fd3254b604eb3982545c357a98009.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '98,000'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501826293,4-Cylinder,1NXBU4EE5AZ183653,,Automatic,9000,98000.0,0.09183673469387756, S
152,152,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/929754f0a9bd45d3bb0b4e2ee0419ef6.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '53,040'}",Corolla,Used 2010 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494503542,4-Cylinder,1NXBU4EEXAZ356261,Gray,Automatic,9000,53040.0,0.16968325791855204, LE Sedan
153,153,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images.autotrader.com/hn/c/da24f952f6344688ab3f18076a6a37e1.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '91,668'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498660602,4-Cylinder,1NXBU4EE2AZ369425,,Automatic,9000,91668.0,0.09818039010341668,
154,154,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/70c8e283e3b24c548ac4192813621edd.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '82,991'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=499764538,4-Cylinder,2T1BU4EE1AC471557,Dark Charcoal,Automatic,9000,82991.0,0.10844549408972057, S
155,155,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,https://images.autotrader.com/hn/c/6e88e0364361423c9fcceeb47bc9ef1c.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '78,758'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494337961,4-Cylinder,JTDBL40E299091218,Bisque,Automatic,9000,78758.0,0.11427410548769648, LE
156,156,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/aa39b85d5fe640bbb7fc6ae95d35a930.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '50,299'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 9000, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=499658180,4-Cylinder,1NXBU4EE2AZ314263,,Automatic,9000,50299.0,0.17892999860832223,
157,157,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '67,421'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501738674,4-Cylinder,2T1BU4EE7AC509387,,Manual,8999,67421.0,0.1334747333916732, S
158,158,http://schema.org/,Car,['Sedan'],Toyota,Gold,2 wheel drive - front,https://images.autotrader.com/hn/c/9e80f633c65448819708cc36f7642867.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '76,393'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498652219,4-Cylinder,1NXBU4EE0AZ171216,Beige,Automatic,8999,76393.0,0.11779875119448117, LE
159,159,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images.autotrader.com/hn/c/fa4fbba42d1b44a69d8cb868a4073eef.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '106,741'}",Corolla,Used 2009 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496222244,4-Cylinder,1NXBU40E79Z035989,Black,Automatic,8999,106741.0,0.08430687364742695, S
160,160,http://schema.org/,Car,['Sedan'],Toyota,Burgundy,2 wheel drive - front,https://images.autotrader.com/images/2018/11/15/500/432/43634731595.500432360.IM1.MAIN.544x408_A.1000x485.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '58,300'}",Corolla,Used 2008 Toyota Corolla CE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2008,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500432360,4-Cylinder,1NXBR32E58Z987333,Gray,Automatic,8999,58300.0,0.15435677530017153, CE
161,161,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/1cebc77a05424bb9b9e88789e4223a5f.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '117,047'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496752479,4-Cylinder,1NXBU4EE8AZ259477,Black,Automatic,8999,117047.0,0.07688364503148308, S
162,162,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/images/2018/11/2/488/475/43633557180.488475964.IM1.MAIN.640x480_A.640x480.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '110,145'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=488475964,4-Cylinder,2T1BU4EE4AC478163,,Automatic,8999,110145.0,0.0817013936175042,
163,163,http://schema.org/,Car,['Sedan'],Toyota,,2 wheel drive - front,https://images.autotrader.com/hn/c/6c676add248c44168420b465bfb95816.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '124,000'}",Corolla,Used 2009 Toyota Corolla XRS,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8999, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501831279,4-Cylinder,1NXBE40E99Z084575,,Manual,8999,124000.0,0.0725725806451613, XRS
164,164,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/d1f3d52fc7724461bc81945dbaa929ef.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '129,048'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8998, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496169526,4-Cylinder,1NXBU4EE0AZ272076,Bisque,Automatic,8998,129048.0,0.06972599342880169, LE
165,165,http://schema.org/,Car,['Sedan'],Toyota,Tan,2 wheel drive - front,https://images.autotrader.com/hn/c/5bcbc59dd4004699a0e534b9149489ee.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '76,435'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8998, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501518990,4-Cylinder,2T1BU4EE9AC308901,Bisque,,8998,76435.0,0.11772093936024072, LE
166,166,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/690e42f73d874dc881959ec8b4b27ad5.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '96,145'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=455921897,4-Cylinder,2T1BU4EE7AC196762,Gray,Automatic,8995,96145.0,0.09355660720786313, LE
167,167,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '78,000'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500984398,4-Cylinder,1NXBU4EE4AZ299488,Gray,Automatic,8995,78000.0,0.11532051282051282,
168,168,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/1bcd4177c15741f79d616587b41ebf0b.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '111,650'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=490225093,4-Cylinder,1NXBU4EEXAZ200785,Gray,Automatic,8995,111650.0,0.08056426332288401,
169,169,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/b8296cbfd66c4c2ebead96a2d062e85f.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '129,333'}",Corolla,Used 2009 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500696007,4-Cylinder,JTDBL40E599030381,,Automatic,8995,129333.0,0.06954914832254722, LE Sedan
170,170,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/c19e6a7a88404b9486c62de953f06f5b.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '78,870'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500585302,4-Cylinder,1NXBU4EE2AZ218861,Tan,Automatic,8995,78870.0,0.11404843413211614, LE
171,171,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/f32b3204abe346f99f79110006ca44cb.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '103,279'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497929201,4-Cylinder,1NXBU40E39Z111000,Tan,Automatic,8995,103279.0,0.08709418177945177, LE
172,172,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,https://images.autotrader.com/hn/c/50acb8715b944fdb805bb74924c17318.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '91,084'}",Corolla,Used 2010 Toyota Corolla XRS,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501064044,4-Cylinder,2T1BE4EE7AC038063,Black,Automatic,8995,91084.0,0.09875499538887181, XRS
173,173,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images.autotrader.com/hn/c/8bc402065a604953908de62fa5edf623.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '120,165'}",Corolla,Used 2009 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=495056096,4-Cylinder,1NXBU40E89Z164257,No Color,Automatic,8995,120165.0,0.07485540714850414, S
174,174,http://schema.org/,Car,['Sedan'],Toyota,Charcoal,2 wheel drive - front,https://images.autotrader.com/images/2018/9/7/494/494/43628749961.494494849.IM1.MAIN.1600x1200_A.1600x1063.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '96,507'}",Corolla,Used 2010 Toyota Corolla Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494494849,4-Cylinder,2T1BU4EE5AC353561,Gray,Automatic,8995,96507.0,0.09320567419979899, Sedan
175,175,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/f756471db9504a7aaaabedb656b3b0b0.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '43,869'}",Corolla,Used 2009 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500255538,4-Cylinder,1NXBU40E89Z112840,Dark Charcoal,Automatic,8995,43869.0,0.20504228498484123, S
176,176,http://schema.org/,Car,['Sedan'],Toyota,White,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '79,990'}",Corolla,Used 2010 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500959624,4-Cylinder,JTDBU4EE0A9114764,Beige,Automatic,8995,79990.0,0.11245155644455557, LE Sedan
177,177,http://schema.org/,Car,['Sedan'],Toyota,Black,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '111,676'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=500812083,4-Cylinder,1NXBU4EE8AZ351835,Gray,Manual,8995,111676.0,0.08054550664422078, S
178,178,http://schema.org/,Car,['Sedan'],Toyota,,2 wheel drive - front,https://images.autotrader.com/hn/c/b8c56604405047e4930d2b8bf8d61a51.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '93,352'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=480367589,4-Cylinder,2T1BU4EE3AC322065,,Automatic,8995,93352.0,0.09635572885422915,
179,179,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/bc3a1511a77d4fad8cd254388dfc8814.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '105,000'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=487876073,4-Cylinder,1NXBU4EE1AZ345276,Select,Automatic,8995,105000.0,0.08566666666666667,
180,180,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': ''}",Corolla,Used 2009 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=502237934,4-Cylinder,1NXBU40E89Z026153,,,8995,,,
181,181,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/88f5acdd2cbf4ef7bf1a213f2726c83c.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '87,899'}",Corolla,Used 2009 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501740243,4-Cylinder,JTDBL40E199039577,Ash,,8995,87899.0,0.10233335987895198,
182,182,http://schema.org/,Car,['Sedan'],Toyota,Blue,2 wheel drive - front,https://images.autotrader.com/hn/c/ac2b2c6a21de473fa1196254ff660b8b.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '88,609'}",Corolla,Used 2008 Toyota Corolla CE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2008,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496458342,4-Cylinder,1NXBR30EX8Z965346,,Automatic,8995,88609.0,0.1015133902876683, CE
183,183,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,,Toyota,"{'@type': 'QuantitativeValue', 'value': '72,127'}",Corolla,Used 2010 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496243053,4-Cylinder,1NXBU4EE7AZ380601,,Automatic,8995,72127.0,0.12471057994925618, S
184,184,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/e5dd60ecad3b45578d1f015cc493954b.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '81,678'}",Corolla,Used 2010 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501327530,4-Cylinder,2T1BU4EEXAC265380,,,8995,81678.0,0.11012757413256936, LE
185,185,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images.autotrader.com/hn/c/0fbe83bbb6e94f1eac4f983666f92f2f.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '82,787'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498906583,4-Cylinder,1NXBU4EE6AZ180311,Ash,Automatic,8995,82787.0,0.10865232464034208,
186,186,http://schema.org/,Car,['Sedan'],Toyota,Green,2 wheel drive - front,https://images.autotrader.com/hn/c/c792be22ea6d4ae5a9c7d4e95ec18139.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '97,284'}",Corolla,Used 2009 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=493272778,4-Cylinder,JTDBL40E49J010296,Ash,Automatic,8995,97284.0,0.09246124748160027, LE
187,187,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images.autotrader.com/hn/c/f37d879570ed4b8389af5eaeaff9789a.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '109,888'}",Corolla,Used 2010 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497406946,4-Cylinder,JTDBU4EE1A9098512,Brown (Tan),Automatic,8995,109888.0,0.08185607163657542,
188,188,http://schema.org/,Car,['Sedan'],Toyota,Gray,2 wheel drive - front,https://images.autotrader.com/hn/c/d51e82d17e864fc7a2506310b6f1e74e.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '42,923'}",Corolla,Used 2009 Toyota Corolla,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2009,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=498530691,4-Cylinder,JTDBL40E799048297,Ash,Automatic,8995,42923.0,0.20956130745754026,
189,189,http://schema.org/,Car,['Sedan'],Toyota,Green,2 wheel drive - front,https://images.autotrader.com/hn/c/a4d4499b5f4848148a07c53106777b5b.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '77,145'}",Corolla,Used 2010 Toyota Corolla LE Sedan,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2010,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501890415,4-Cylinder,1NXBU4EE0AZ203615,Ash,Automatic,8995,77145.0,0.1165986130014907, LE Sedan
190,190,http://schema.org/,Car,['Sedan'],Toyota,Silver,2 wheel drive - front,https://images.autotrader.com/hn/c/c172ad9ab0cb4347b7368f41c6a884e7.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '51,937'}",Corolla,Used 2007 Toyota Corolla LE,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2007,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501834023,4-Cylinder,2T1BR32E87C750044,Fb11,Automatic,8995,51937.0,0.17319059629936268, LE
191,191,http://schema.org/,Car,['Sedan'],Toyota,Red,2 wheel drive - front,https://images.autotrader.com/images/2018/12/4/501/890/43636143480.501890870.IM1.MAIN.1600x1200_A.1600x1200.jpg,Toyota,"{'@type': 'QuantitativeValue', 'value': '38,950'}",Corolla,Used 2008 Toyota Corolla S,"{'@type': 'Offer', 'priceCurrency': 'USD', 'price': 8995, 'itemCondition': 'http://schema.org/Used', 'availability': 'http://schema.org/InStock'}",2008,www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=501890870,4-Cylinder,2T1BR32EX8C894745,Charcoal,Automatic,8995,38950.0,0.23093709884467264, S
